Oficina,Nombre de la oficina,2012,2013,2014,2015,2016,2017,2018
300,TRIBUNAL SUPREMO ELECTORAL,0.3646325008977225,,,1.148914973392857,0.14438870004764826,,0.18393631194599758
500,PRESIDENCIA DE LA REPUBLICA,0.31692582679169057,0.27869279300725314,,,,,
900,RAMO DE LA DEFENSA NACIONAL,,,,,,,0.23758192884616425
1700,FISCALIA GENERAL DE LA REPUBLICA,,,0.14620003761011247,,,,
2400,RAMO DE SEGURIDAD PUBLICA Y JUSTICIA,,,,,,,0.16100096425682864
4100,RAMO DE ECONOMIA,0.833527213231833,0.49425494275564974,0.058566291532748505,,,0.7302209057699112,0.35959444945717167
