"year","month","office","unit","line","source","object","approved","modified","reserved","accrued"
"2020","01","0100","01","0103","1","54119",1485.0,1794.07,309.07,309.07
"2020","01","0100","01","0103","1","54199",430.0,746.75,316.75,316.75
"2020","01","0100","01","0103","1","54201",16666.0,27242.75,27242.75,27242.75
"2020","01","0100","01","0103","1","54202",11890.0,64005.61,64005.61,58556.85
"2020","01","0100","01","0103","1","54203",37500.0,37500.0,1465.56,1465.56
"2020","01","0100","01","0103","1","54204",50.0,50.0,0.0,0.0
"2020","01","0100","01","0103","1","54301",113250.0,0.0,0.0,0.0
"2020","01","0100","01","0103","1","54302",35000.0,3231.87,3231.87,3231.87
"2020","01","0100","01","0103","1","54304",0.0,593.25,593.25,593.25
"2020","01","0100","01","0103","1","54306",43083.0,31336.74,31336.74,31336.74
"2020","01","0100","01","0103","1","54314",0.0,135.0,135.0,135.0
"2020","01","0100","01","0103","1","54316",0.0,192.0,192.0,192.0
"2020","01","0100","01","0103","1","54317",111600.0,0.0,0.0,0.0
"2020","01","0100","01","0103","1","54399",1158.0,6668.57,6103.82,6103.82
"2020","01","0100","01","0103","1","54599",5000.0,5000.0,0.0,0.0
"2020","01","0100","01","0103","1","55599",22000.0,12290.0,12290.0,10438.99
"2020","01","0100","01","0103","1","61101",920.0,1105.0,1105.0,0.0
"2020","01","0100","01","0103","1","61102",1670.0,1670.0,489.5,0.0
"2020","01","0100","01","0103","1","61104",0.0,3561.0,3560.64,2331.0
"2020","01","0100","01","0103","1","61199",2240.0,2240.0,30.0,0.0
"2020","01","0100","01","0104","1","51101",82876.0,82574.82,82574.82,82574.82
"2020","01","0100","01","0104","1","51104",230.0,0.0,0.0,0.0
"2020","01","0100","01","0104","1","51201",315072.0,314552.36,314552.36,314552.36
"2020","01","0100","01","0104","1","51204",1000.0,1000.0,1000.0,1000.0
"2020","01","0100","01","0104","1","51401",9312.0,3525.91,3525.91,3525.91
"2020","01","0100","01","0104","1","51402",40755.0,18372.56,18372.56,18372.56
"2020","01","0100","01","0104","1","51501",624.0,5620.93,5620.93,5620.93
"2020","01","0100","01","0104","1","51502",1620.0,23077.95,23077.95,23077.95
"2020","01","0100","01","0104","1","54101",1185.0,1185.0,0.0,0.0
"2020","01","0100","01","0104","1","54103",100.0,100.0,0.0,0.0
"2020","01","0100","01","0104","1","54105",2445.0,2445.0,0.0,0.0
"2020","01","0100","01","0104","1","54106",5.0,5.0,0.0,0.0
"2020","01","0100","01","0104","1","54107",935.0,935.0,0.0,0.0
"2020","01","0100","01","0104","1","54114",1290.0,1290.0,0.0,0.0
"2020","01","0100","01","0104","1","54115",590.0,590.0,0.0,0.0
"2020","01","0100","01","0104","1","54116",2000.0,0.0,0.0,0.0
"2020","01","0100","01","0104","1","54118",430.0,430.0,0.0,0.0
"2020","01","0100","01","0104","1","54119",75.0,75.0,0.0,0.0
"2020","01","0100","01","0104","1","54199",780.0,780.0,0.0,0.0
"2020","01","0100","01","0104","1","54201",9898.0,9898.0,9897.94,277.94
"2020","01","0100","01","0104","1","54301",705.0,705.0,0.0,0.0
"2020","01","0100","01","0104","1","54305",8333.0,0.0,0.0,0.0
"2020","01","0100","01","0104","1","54317",708.0,0.0,0.0,0.0
"2020","01","0100","01","0104","1","61101",635.0,635.0,0.0,0.0
"2020","01","0100","01","0104","1","61102",100.0,100.0,0.0,0.0
"2020","01","0100","02","0201","1","51101",343831.0,334636.82,334636.82,334636.82
"2020","01","0100","02","0201","1","51104",0.0,300.0,300.0,300.0
"2020","01","0100","02","0201","1","51201",178300.0,171522.06,171522.06,171522.06
"2020","01","0100","02","0201","1","51204",0.0,500.0,500.0,500.0
"2020","01","0100","02","0201","1","51401",23185.0,10700.49,10700.49,10700.49
"2020","01","0100","02","0201","1","51402",19172.0,8283.48,8283.48,8283.48
"2020","01","0100","02","0201","1","51501",14359.0,21316.85,21316.85,21316.85
"2020","01","0100","02","0201","1","51502",2535.0,12403.22,12403.22,12403.22
"2020","01","0100","02","0201","1","51601",153885.0,154770.86,154770.86,154770.86
"2020","01","0100","02","0201","1","54101",9355.0,0.0,0.0,0.0
"2020","01","0100","02","0201","1","54104",15.0,15.0,0.0,0.0
"2020","01","0100","02","0201","1","54105",10160.0,10160.0,0.0,0.0
"2020","01","0100","02","0201","1","54106",30.0,30.0,0.0,0.0
"2020","01","0100","02","0201","1","54107",1445.0,1445.0,0.0,0.0
"2020","01","0100","02","0201","1","54114",2145.0,2145.0,0.0,0.0
"2020","01","0100","02","0201","1","54115",495.0,495.0,0.0,0.0
"2020","01","0100","02","0201","1","54118",50.0,50.0,0.0,0.0
"2020","01","0100","02","0201","1","54119",740.0,740.0,0.0,0.0
"2020","01","0100","02","0201","1","54199",2170.0,2170.0,419.46,419.46
"2020","01","0100","02","0201","1","54201",9500.0,9500.0,9500.0,0.0
"2020","01","0100","02","0201","1","54202",2083.0,2083.0,2083.0,0.0
"2020","01","0100","02","0201","1","54304",41.0,41.0,0.0,0.0
"2020","01","0100","02","0201","1","54310",10000.0,10000.0,0.0,0.0
"2020","01","0100","02","0201","1","54313",460.0,460.0,0.0,0.0
"2020","01","0100","02","0201","1","54314",2911.0,0.0,0.0,0.0
"2020","01","0100","02","0201","1","54317",6545.0,0.0,0.0,0.0
"2020","01","0100","02","0201","1","54402",30000.0,0.0,0.0,0.0
"2020","01","0100","02","0201","1","54404",24333.0,6237.5,6237.5,6237.5
"2020","01","0100","02","0201","1","54503",4136.0,0.0,0.0,0.0
"2020","01","0100","02","0201","1","54505",0.0,886.8,556.8,556.8
"2020","01","0100","02","0201","1","61102",460.0,460.0,0.0,0.0
"2020","01","0100","02","0201","1","61199",260.0,260.0,0.0,0.0
"2020","01","0200","01","0101","1","51101",13617.0,13617.84,13294.99,13294.99
"2020","01","0200","01","0101","1","51401",225.0,225.0,225.0,225.0
"2020","01","0200","01","0101","1","51501",1055.0,1055.38,1055.38,1055.38
"2020","01","0200","01","0101","1","51601",5000.0,5000.0,5000.0,5000.0
"2020","01","0200","01","0101","1","54101",560.0,560.0,483.06,483.06
"2020","01","0200","01","0101","1","54404",2500.0,2500.0,2500.0,0.0
"2020","01","0200","01","0102","1","51101",98113.0,96182.77,93913.49,93913.49
"2020","01","0200","01","0102","1","51201",429188.0,429188.0,413862.2,413862.2
"2020","01","0200","01","0102","1","51301",20833.0,21031.73,21031.73,21031.73
"2020","01","0200","01","0102","1","51401",8108.0,8108.0,7142.56,7142.56
"2020","01","0200","01","0102","1","51402",20697.0,20697.0,17738.22,17738.22
"2020","01","0200","01","0102","1","51403",725.0,482.65,482.65,482.65
"2020","01","0200","01","0102","1","51501",6802.0,6802.0,5825.89,5825.89
"2020","01","0200","01","0102","1","51502",31849.0,31849.0,26878.87,26878.87
"2020","01","0200","01","0102","1","51503",725.0,1034.56,1034.56,1034.56
"2020","01","0200","01","0102","1","51903",52500.0,52500.0,52500.0,52500.0
"2020","01","0200","01","0102","1","54101",301.0,301.0,120.36,120.36
"2020","01","0200","01","0102","1","54104",600.0,600.0,183.84,8.64
"2020","01","0200","01","0102","1","54105",175.0,175.0,173.82,23.82
"2020","01","0200","01","0102","1","54110",175000.0,175000.0,175000.0,0.0
"2020","01","0200","01","0102","1","54114",64.0,64.0,64.0,14.0
"2020","01","0200","01","0102","1","54118",31450.0,31450.0,551.82,306.82
"2020","01","0200","01","0102","1","54201",50000.0,50000.0,50000.0,40500.0
"2020","01","0200","01","0102","1","54202",8000.0,8000.0,8000.0,7720.0
"2020","01","0200","01","0102","1","54203",129145.0,129145.0,118216.75,471.3
"2020","01","0200","01","0102","1","54204",220.0,220.0,130.0,80.0
"2020","01","0200","01","0102","1","54301",66000.0,66000.0,66000.0,0.0
"2020","01","0200","01","0102","1","54302",6000.0,6000.0,4427.83,3652.83
"2020","01","0200","01","0102","1","54306",260190.0,260190.0,260190.0,25970.0
"2020","01","0200","01","0102","1","54307",44050.0,44050.0,44049.6,0.0
"2020","01","0200","01","0102","1","54310",26.0,26.0,26.0,26.0
"2020","01","0200","01","0102","1","54313",11060.0,11060.0,4022.81,180.0
"2020","01","0200","01","0102","1","54314",1590.0,1590.0,1590.0,0.0
"2020","01","0200","01","0102","1","54317",112740.0,112740.0,62520.0,10420.0
"2020","01","0200","01","0102","1","54399",4530.0,4530.0,4439.76,604.76
"2020","01","0200","01","0102","1","54401",9006.0,9006.0,9006.0,0.0
"2020","01","0200","01","0102","1","54403",32820.0,32820.0,32820.0,0.0
"2020","01","0200","01","0102","1","54404",2083.0,2083.0,2083.0,0.0
"2020","01","0200","01","0102","1","55507",2500.0,2500.0,2500.0,2300.0
"2020","01","0200","01","0102","1","55599",7000.0,7000.0,5887.66,5887.66
"2020","01","0200","01","0102","1","61403",5900.0,5900.0,0.0,0.0
"2020","01","0200","02","0201","1","51201",1160142.0,1160142.0,1128743.43,1128743.43
"2020","01","0200","02","0201","1","51402",56006.0,56006.0,50944.97,50944.97
"2020","01","0200","02","0201","1","51502",86907.0,86907.0,77394.63,77394.63
"2020","01","0200","02","0201","1","54101",260.0,260.0,260.0,0.0
"2020","01","0200","02","0201","1","54313",4166.0,4166.0,2707.06,0.0
"2020","01","0200","02","0201","1","54317",33780.0,33780.0,33780.0,7800.0
"2020","01","0200","02","0201","1","54401",5633.0,5633.0,5633.0,5633.0
"2020","01","0200","02","0201","1","54402",1666.0,1666.0,0.0,0.0
"2020","01","0200","02","0201","1","54403",33841.0,33841.0,33841.0,30841.0
"2020","01","0200","02","0201","1","54404",5833.0,5833.0,5833.0,0.0
"2020","01","0200","02","0202","1","51101",197010.0,197010.0,182760.67,182760.67
"2020","01","0200","02","0202","1","51201",181655.0,181655.0,165168.32,165168.32
"2020","01","0200","02","0202","1","51401",12654.0,12654.0,10260.86,10260.86
"2020","01","0200","02","0202","1","51402",10149.0,10149.0,9195.19,9195.19
"2020","01","0200","02","0202","1","51501",13727.0,13727.0,11453.34,11453.34
"2020","01","0200","02","0202","1","51502",13581.0,13581.0,11928.35,11928.35
"2020","01","0200","02","0202","1","54101",30.0,30.0,0.0,0.0
"2020","01","0200","02","0202","1","54313",642.0,642.0,332.22,0.0
"2020","01","0200","02","0202","1","54403",2600.0,2600.0,1615.0,1615.0
"2020","01","0300","01","0101","1","51101",27497.95,27497.95,27497.95,27497.95
"2020","01","0300","01","0101","1","51201",115578.33,115578.33,107118.73,107118.73
"2020","01","0300","01","0101","1","51401",750.0,823.58,823.58,823.58
"2020","01","0300","01","0101","1","51402",6856.25,6856.25,6358.79,6358.79
"2020","01","0300","01","0101","1","51501",2131.25,2057.67,1704.84,1704.84
"2020","01","0300","01","0101","1","51502",8957.5,8957.5,7437.13,7437.13
"2020","01","0300","01","0101","1","51601",12185.75,12185.75,12185.75,12185.75
"2020","01","0300","01","0101","1","51702",1310.0,1310.0,1308.49,1308.49
"2020","01","0300","01","0102","1","51101",6187.0,6187.0,6183.04,6183.04
"2020","01","0300","01","0102","1","51201",26729.0,26729.0,26561.19,26561.19
"2020","01","0300","01","0102","1","51401",673.0,673.0,339.22,339.22
"2020","01","0300","01","0102","1","51402",1237.0,1237.0,1087.84,1087.84
"2020","01","0300","01","0102","1","51501",224.0,224.0,220.33,220.33
"2020","01","0300","01","0102","1","51502",2002.0,2002.0,1692.65,1692.65
"2020","01","0300","01","0103","1","51101",10459.0,10459.0,9224.33,9224.33
"2020","01","0300","01","0103","1","51201",87251.0,91810.54,91810.54,91810.54
"2020","01","0300","01","0103","1","51401",1037.0,1037.0,260.26,260.26
"2020","01","0300","01","0103","1","51402",4500.0,3493.25,3493.25,3493.25
"2020","01","0300","01","0103","1","51501",472.0,472.0,270.08,270.08
"2020","01","0300","01","0103","1","51502",6113.0,6408.5,6408.5,6408.5
"2020","01","0300","01","0104","1","51101",27036.0,27036.0,23031.99,23031.99
"2020","01","0300","01","0104","1","51201",105643.0,107057.79,107057.79,107057.79
"2020","01","0300","01","0104","1","51401",2115.0,2115.0,1229.9,1229.9
"2020","01","0300","01","0104","1","51402",8737.0,7322.21,6302.67,6302.67
"2020","01","0300","01","0104","1","51501",1865.0,1865.0,873.57,873.57
"2020","01","0300","01","0104","1","51502",6678.0,6678.0,5306.58,5306.58
"2020","01","0300","01","0104","1","54101",2620.0,0.0,0.0,0.0
"2020","01","0300","01","0104","1","54107",0.0,79.0,79.0,79.0
"2020","01","0300","01","0104","1","54201",11008.0,8740.7,8740.7,8740.7
"2020","01","0300","01","0104","1","54202",2297.0,1537.83,1537.83,1537.83
