"CODIGO";"NOMBRE"
"370275";"Venta al por mayor de maquinaria equipo, accesorios y materiales para la industria de la madera y  sus  productos"
"370276";"Venta al por mayor de maquinaria,  equipo, accesorios y materiales para las industria gráfica y del papel, cartón y productos de papel y cartón"
"370277";"Venta al por mayor de maquinaria, equipo, accesorios y materiales para la  industria de  productos químicos, plástico y caucho"
"370278";"Venta al por mayor de maquinaria, equipo, accesorios y materiales para la industria metálica y de sus productos"
"370279";"Venta al por mayor de equipamiento para uso médico, odontológico, veterinario y servicios conexos"
"370280";"Venta al por mayor de maquinaria, equipo, accesorios y partes para la industria de la alimentación"
"370281";"Venta al por mayor de maquinaria, equipo, accesorios y partes para la industria textil, confecciones y cuero"
"370282";"Venta al por mayor de maquinaria, equipo y accesorios para la construcción y explotación de minas y canteras"
"370283";"Venta al por mayor de otro tipo de maquinaria y equipo con sus accesorios y partes"
"370284";"Venta al por mayor de otros combustibles sólidos, líquidos, gaseosos y de productos conexos"
"370285";"Venta al por mayor de combustibles para automotores, aviones, barcos, maquinaria  y otros"
"370286";"Venta al por mayor de lubricantes, grasas y  otros aceites para automotores, maquinaria  industrial, etc."
"370287";"Venta al por mayor de gas propano"
"370288";"Venta al por mayor de leña y carbón"
"370289";"Venta al por mayor de metales y minerales metalíferos"
"370290";"Venta al por mayor de puertas, ventanas, vitrinas y similares"
"370291";"Venta al por mayor de artículos de ferretería y pinturerías"
"370292";"Vidrierías"
"370293";"Venta al por mayor de maderas"
"370294";"Venta de madera y sus productos"
"370295";"Venta al por mayor de materiales para la construcción n.c.p."
"370296";"Venta al por mayor de sal industrial sin yodar"
"370297";"Venta al por mayor de productos intermedios y desechos de origen textil"
"370298";"Venta al por mayor de productos intermedios y desechos de origen metálico"
"370299";"Venta al por mayor de productos intermedios y desechos de papel y cartón"
"3703";"COMERCIO AL POR MAYOR, EXCEPTO EL COMERCIO DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (parte 2)"
"370301";"Venta al por mayor fertilizantes, abonos, agroquímicos y productos similares"
"370302";"Venta al por mayor de productos intermedios y desechos de origen plástico"
"370303";"Venta al por mayor de tintas para imprenta, productos curtientes y materias y productos colorantes"
"370304";"Venta de productos intermedios y desechos de origen químico y de caucho"
"370305";"Venta al por mayor de productos intermedios y desechos ncp"
"370306";"Venta de algodón en oro "
"370307";"Venta al por mayor de otros productos"
"370308";"Venta al por mayor de cohetes y otros productos pirotécnicos "
"370309";"Venta al por mayor de articulos diversos para consumo humano"
"370310";"Venta al por mayor de armas de fuego, municiones y accesorios"
"370311";"Venta al por mayor de toldos y tiendas de campaña de cualquier material"
"370312";"Venta al por mayor de exhibidores publicitarios y rótulos"
"370313";"Venta al por mayor de artículos promocionales diversos"
"370314";"Venta de productos pirotécnicos"
"3704";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
"370401";"Venta en supermercados"
"370402";"Venta en tiendas de articulos de primera necesidad"
"370403";"Almacenes (venta de diversos artículos)"
"370404";"Venta al por menor de otros productos en comercios no especializados"
"370405";"Venta de establecimientos no especializados con surtido compuesto principalmente de alimentos, bebidas y tabaco"
"370406";"Venta al por menor de frutas y hortalizas"
"370407";"Venta al por menor de carnes, embutidos y productos de granja"
"370408";"Venta al por menor de pescado y mariscos "
"370409";"Venta al por menor de productos lácteos"
"370410";"Venta al por menor de productos de panadería, repostería y galletas "
"370411";"Venta al por menor de huevos"
"370412";"Venta al por menor de carnes y productos cárnicos"
"370413";"Venta al por menor de granos básicos y otros"
"370414";"Venta al por menor de alimentos n.c.p."
"370415";"Venta al por menor de hielo"
"370416";"Venta de bebidas no alcohólicas, para su consumo fuera del establecimiento"
"370417";"Venta de bebidas alcohólicas, para su consumo fuera del establecimiento"
"370418";"Venta de bebidas alcohólicas para su consumo dentro del establecimiento"
"370419";"Venta al por menor de tabaco"
"370420";"Venta de combustibles, lubricantes y otros (gasolineras)"
"370421";"Venta al por menor de computadoras y equipo periférico "
"370422";"Venta de equipo y accesorios de telecomunicación"
"370423";"Venta al por menor de equipo de audio y video"
"370424";"Venta al por menor de hilados, tejidos y productos textiles de mercería; confecciones para el hogar y textiles n.c.p."
"370425";"Venta al por menor de productos de madera"
"370426";"Venta al por menor de artículos de ferretería"
"370427";"Venta al por menor de productos de pinturerías"
"370428";"Venta al por menor en vidrierías"
"370429";"Venta de artículos de ferretería, de materiales y accesorios para la construcción; incluye pinturas y productos conexos"
"370430";"Venta al por menor de materiales de construcción y artículos conexos"
"370431";"Venta al por menor de tapices, alfombras y revestimientos de paredes y pisos en comercios especializados"
"370432";"Venta al por menor de muebles"
"370433";"Venta al por menor de artículos de bazar"
"370434";"Venta al por menor de aparatos electrodomésticos, repuestos y accesorios"
"370435";"Venta al por menor de artículos eléctricos y de iluminación"
"370436";"Venta al por menor de instrumentos musicales"
"370437";"Venta de muebles, electrodomésticos y otros enseres eléctricos y de comunicación"
"370438";"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados "
"370439";"Venta de papel, cartón, libros, revistas y útiles escolares y de escritorio"
"370440";"Venta al por menor de discos láser, cassettes, cintas de video y otros"
"370441";"Venta al por menor de productos y equipos de deporte"
"370442";"Venta al por menor de bicicletas, accesorios y repuestos"
"370443";"Venta al por menor de juegos y juguetes  en comercios especializados"
"370444";"Venta al por menor de prendas de vestir y accesorios de vestir"
"370445";"Venta al por menor de calzado"
"370446";"Venta al por menor de artículos de peletería, marroquinería y talabartería"
"370447";"Venta de calzado"
"370448";"Venta al por menor de medicamentos farmacéuticos y otros materiales y artículos de uso médico, odontológico y veterinario"
"370449";"Venta al por menor de productos cosméticos y de tocador"
"370450";"Venta al por menor de productos de joyería, bisutería, óptica, relojería"
"370451";"Venta al por menor de plantas, semillas, animales y artículos conexos"
"370452";"Venta al por menor de combustibles de uso doméstico (gas propano y gas licuado)"
"370453";"Venta al por menor de artesanías, artículos cerámicos y recuerdos en general"
"370454";"Venta al por menor de ataúdes, lápidas y cruces, trofeos, artículos religiosos en general"
"370455";"Venta al por menor de armas de fuego, municiones y accesorios"
"370456";"Venta al por menor de artículos de cohetería y pirotécnicos"
"370457";"Venta al por menor de artículos desechables de uso personal y doméstico (servilletas, papel higiénico, pañales, toallas sanitarias, etc.)"
"370458";"Venta al por menor de otros productos n.c.p."
"370459";"Venta al por menor de artículos usados"
"370460";"Venta al por menor de textiles y confecciones usados"
"370461";"Venta al por menor de libros, revistas, papel y cartón usados"
"370462";"Venta al por menor de productos usados n.c.p."
"370463";"Venta al por menor de frutas, verduras y hortalizas "
"370464";"Venta al por menor de carnes, embutidos y productos de granja"
"370466";"Venta al por menor de productos lácteos"
"370467";"Venta al por menor de productos de panadería, galletas y similares"
"370468";"Venta al por menor de bebidas"
"370470";"Venta al por menor en tiendas de mercado y puestos"
"370472";"Venta al por menor de hilados, tejidos y productos textiles de mercería en puestos de mercados y ferias"
"370473";"Venta al por menor de artículos textiles excepto confecciones para el hogar en puestos de mercados y ferias"
"370474";"Venta al por menor de confecciones textiles para el hogar en puestos de mercados y ferias"
"370475";"Venta al por menor de prendas de vestir, accesorios de vestir y similares en puestos de mercados y ferias"
"370476";"Venta al por menor de ropa usada"
"370477";"Venta al por menor de calzado, artículos de marroquinería y talabartería en puestos de mercados y ferias"
"370478";"Venta al por menor de artículos de marroquinería y talabartería en puestos de mercados y ferias"
"370479";"Venta al por menor de artículos textiles ncp en puestos de mercados y ferias"
"370480";"Venta al por menor de animales, flores y productos conexos en puestos de feria y mercados"
"370481";"Venta al por menor de productos medicinales, cosméticos, de tocador y de limpieza en puestos de ferias y mercados"
"370482";"Venta al por menor de artículos de bazar en puestos de ferias y mercados"
"370483";"Venta al por menor de artículos de papel, envases, libros, revistas y conexos en puestos de feria y mercados"
"370484";"Venta al por menor de materiales de construcción, electrodomésticos, accesorios para autos y similares en puestos de feria y mercados"
"370485";"Venta al por menor de equipos accesorios para las comunicaciones en puestos de feria y mercados"
"370486";"Venta al por menor en puestos de ferias y mercados n.c.p."
"370487";"Venta al por menor por correo o internet"
"370488";"Otros tipos de venta al por menor no realizada, en almacenes, puestos de venta o mercado"
"38";"TRANSPORTE Y ALMACENAMIENTO"
"3801";"TRANSPORTE POR VÍA TERRESTRE Y  TRANSPORTE POR TUBERÍAS"
"380101";"Transporte interurbano de pasajeros  por ferrocarril"
"380102";"Transporte de carga por ferrocarril"
"380103";"Transporte de pasajeros urbanos e interurbano mediante buses"
"380104";"Transporte de pasajeros interdepartamental mediante  microbuses"
"380105";"Transporte de pasajeros urbanos e interurbano mediante microbuses"
"380106";"Transporte de pasajeros interdepartamental mediante buses"
"380107";"Transporte colectivo de pasajeros a través de microbuses"
"380108";"Transporte colectivo de pasajeros a través de autobuses"
"380109";"Transporte internacional de pasajeros"
"380110";"Transporte de pasajeros mediante taxis y autos con chofer"
"380111";"Transporte escolar"
"380112";"Transporte de pasajeros para excursiones"
"380113";"Servicios de transporte de personal "
"380114";"Transporte de pasajeros por vía terrestre ncp"
"380115";"Transporte de carga urbano"
"380116";"Transporte nacional de carga"
"380117";"Transporte de carga  internacional"
"380118";"Servicios de  mudanza"
"380119";"Alquiler de vehículos de carga con conductor"
"380120";"Transporte de carga"
"380121";"Transporte por oleoducto o gasoducto"
"3802";"TRANSPORTE POR VÍA ACUÁTICA"
"380201";"Transporte de pasajeros marítimo y de cabotaje"
"380202";"Transporte de carga marítimo y de cabotaje"
"380203";"Transporte por vía acuática"
"380204";"Transporte de pasajeros por vías de navegación interiores"
"380205";"Alquiler de equipo de transporte de pasajeros por vías de navegación interior con conductor"
"380206";"Transporte de carga por vías de navegación interiores"
"3803";"TRANSPORTE POR VÍA AÉREA"
"380301";"Transporte aéreo de pasajeros"
"380302";"Transporte de carga por vía aérea"
"380303";"Alquiler de equipo de aerotransporte con operadores para el propósito de transportar carga"
"380304";"Transporte aéreo"
"3804";"ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE"
"380401";"Alquiler de instalaciones de almacenamiento en zonas francas"
"380402";"Alquiler de silos para conservación y almacenamiento de granos"
"380403";"Alquiler de instalaciones con refrigeración para almacenamiento y conservación de alimentos y otros productos"
"380404";"Alquiler de bodegas para almacenamiento y depósito n.c.p."
"380405";"Servicio de garaje y estacionamiento"
"380406";"Servicios de terminales para el transporte por vía terrestre"
"380407";"Servicios para el transporte por vía terrestre n.c.p."
"380408";"Servicios para el transporte acuático"
"380409";"Servicios para el transporte aéreo"
"380410";"Manipulación de carga"
"380411";"Servicios para el transporte ncp"
"380412";"Agencias de tramitaciones aduanales"
"3805";"ACTIVIDADES POSTALES Y DE MENSAJERÍA"
"380501";"Servicios de correo nacional"
"380502";"Actividades de correo distintas a las actividades postales nacionales"
"380503";"Servicios de correo, envíos y otros similares"
"39";"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS"
"3901";"ACTIVIDADES DE ALOJAMIENTO"
"390101";"Actividades de alojamiento para estancias cortas"
"390102";"Hoteles"
"390103";"Actividades de campamentos, parques de vehículos de recreo y parques de caravanas"
"390104";"Alojamiento n.c.p."
"3902";"ACTIVIDADES DE SERVICIO DE COMIDAS Y BEBIDAS"
"390201";"Restaurantes"
"390202";"Pupusería"
"390203";"Actividades varias de restaurantes "
"390204";"Comedores"
"390205";"Merenderos ambulantes"
"390206";"Preparación de comida para eventos especiales"
"390207";"Servicios de provisión de comidas por contrato "
"390208";"Servicios de concesión de cafetines y chalet en empresas e instituciones "
"390209";"Servicios de preparación de comidas ncp"
"390210";"Servicio de expendio de bebidas en salones y bares"
"390211";"Servicio de expendio de bebidas en puestos callejeros, mercados y ferias"
"40";"INFORMACIÓN Y COMUNICACIONES"
"4001";"ACTIVIDADES DE EDICIÓN"
"400101";"Edición de libros, folletos, partituras y otras ediciones distintas a estas"
"400102";"Edición de directorios y listas de correos"
"400103";"Edición de periódicos, revistas y otras publicaciones periódicas"
"400104";"Otras actividades de edición"
"400105";"Edición de libros, periódicos, revistas y otras publicaciones"
"400106";"Edición de programas informáticos (software)"
"4002";"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VIDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA"
"400201";"Actividades de producción cinematográfica"
"400202";"Actividades de post producción de películas, videos y programas  de televisión "
"400203";"Actividades de distribución de películas cinematográficas, videos y programas de televisión"
"400204";"Actividades de exhibición de películas cinematográficas y cintas de vídeo"
"400205";"Producción, distribución y exhibición de filmes y videocintas"
"400206";"Actividades de edición y grabación de música  "
"4003";"ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN"
"400301";"Servicios de difusiones de radio"
"400302";"Actividades de programación y difusión de televisión abierta"
"400303";"Actividades de suscripción y difusión de televisión por cable y/o suscripción"
"400304";"Servicios de televisión, incluye televisión por cable"
"400305";"Programación y transmisión de radio y televisión"
"4004";"TELECOMUNICACIONES"
"400401";"Servicio de telefonía "
"400402";"Servicio de Internet "
"400403";"Servicio de telefonía fija"
"400404";"Servicio de Internet n.c.p."
"400405";"Servicios de telefonía celular"
"400406";"Servicios de Internet inalámbrico "
"400407";"Servicios de telecomunicaciones inalámbrico n.c.p."
"400408";"Telecomunicaciones satelitales"
"400409";"Comunicación vía satélite n.c.p."
"400410";"Actividades de telecomunicación n.c.p."
"4005";"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA INFORMÁTICA Y ACTIVIDADES CONEXAS"
"400501";"Programación Informática"
"400502";"Consultorias y gestión de servicios informáticos"
"400503";"Otras actividades de tecnología de información y servicios de computadora"
"4006";"ACTIVIDADES DE SERVICIOS DE INFORMACIÓN"
"400601";"Procesamiento de datos y actividades relacionadas"
"400602";"Portales WEB"
"400603";"Servicios de Agencias de Noticias"
"400604";"Otros servicios de información  n.c.p."
"41";"ACTIVIDADES FINANCIERAS Y DE SEGUROS"
"4101";"ACTIVIDADES DE SERVICIOS FINANCIEROS EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES"
"410101";"Servicios provistos por el Banco Central de El salvador"
"410102";"Bancos"
"410103";"Entidades dedicadas al envío de remesas"
"410104";"Otras entidades financieras"
"410105";"Actividades de sociedades de cartera"
"410106";"Fideicomisos, fondos y otras fuentes de financiamiento"
"410107";"Arrendamiento financieros"
"410108";"Asociaciones cooperativas de ahorro y crédito dedicadas a la intermediación financiera"
"410109";"Instituciones emisoras de tarjetas de crédito y otros"
"410110";"Tipos de crédito ncp"
"410111";"Prestamistas y casas de empeño"
"410112";"Actividades de servicios financieros, excepto la financiación de planes de seguros y de pensiones n.c.p."
"4102";"SEGUROS, REASEGUROS Y FONDOS DE PENSIONES, EXCEPTO PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA."
"410201";"Planes de seguros de vida "
"410202";"Planes de seguro excepto de vida"
"410203";"Seguros generales de todo tipo"
"410204";"Planes se seguro"
"410205";"Planes de pensiones"
"4103";"ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS"
"410301";"Administración de mercados financieros (Bolsa de Valores)"
"410302";"Actividades bursátiles (Corredores de Bolsa)"
"410303";"Bolsas, comisionistas de bolsas y corredores de valores"
"410304";"Actividades auxiliares de la intermediación financiera ncp"
"410305";"Evaluación de riesgos y daños"
"410306";"Actividades de agentes y corredores de seguros"
"410307";"Otras actividades auxiliares de seguros y fondos de pensiones"
"410308";"Actividades de administración de fondos"
"42";"ACTIVIDADES INMOBILIARIAS"
"4201";"ACTIVIDADES INMOBILIARIAS"
"420101";"Servicio de alquiler y venta de lotes en cementerios"
"420102";"Actividades inmobiliarias realizadas con bienes propios o arrendados n.c.p."
"420103";"Actividades Inmobiliarias Realizadas a Cambio de una Retribución o por Contrata"
"43";"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
"4301";"ACTIVIDADES JURÍDICAS Y CONTABLES"
"430101";"Actividades jurídicas"
"430102";"Actividades de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos"
"4302";"ACTIVIDADES DE OFICINAS CENTRALES; ACTIVIDADES DE CONSULTORIA EN GESTIÓN EMPRESARIAL "
"430201";"Actividades de oficinas centrales de sociedades de cartera"
"430202";"Actividades de consultoria en gestión empresarial "
"4303";"ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS"
"430301";"Servicios de arquitectura y planificación urbana y servicios conexos"
"430302";"Servicios de ingeniería"
"430303";"Servicios de agrimensura, topografía, cartografía, prospección y geofísica y servicios conexos"
"430304";"Actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico"
"430305";"Ensayos y análisis técnicos"
"4304";"INVESTIGACIÓN CIENTÍFICA Y DESARROLLO"
"430401";"Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería"
"430402";"Investigaciones científicas"
"430403";"Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades  científica y desarrollo "
"4305";"PUBLICIDAD Y ESTUDIOS DE MERCADO"
"430501";"Publicidad"
"430502";"Investigación de mercados y realización de encuestas de opinión pública"
"4306";"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
"430601";"Actividades de diseño especializado"
"430602";"Actividades de fotografía"
"430603";"Servicios profesionales y científicos ncp"
"4307";"ACTIVIDADES VETERINARIAS"
"430701";"Actividades veterinarias"
"44";"ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO"
"4401";"ACTIVIDADES DE ALQUILER Y ARRENDAMIENTO"
"440101";"Alquiler de equipo de transporte terrestre"
"440102";"Alquiler de equipo de transporte acuático"
"440103";"Alquiler de equipo de transporte  por vía aérea"
"440104";"Alquiler de equipo de transporte sin operario"
"440105";"Alquiler y arrendamiento de equipo de recreo y deportivo"
"440106";"Alquiler de cintas de video y discos"
"440107";"Alquiler de otros efectos personales y enseres domésticos "
"440108";"Alquiler de maquinaria y equipo"
"440109";"Arrendamiento de productos de propiedad intelectual "
"440110";"Alquiler de efectos personales y enseres domésticos de todo tipo incluye alquiler al público de video cintas, y otros no clasificados previamente."
"4402";"ACTIVIDADES DE EMPLEO"
"440201";"Obtención y dotación de personal"
"440202";"Actividades de las agencias de trabajo temporal"
"440203";"Dotación de recursos humanos y gestión; gestión de las funciones de recursos humanos"
"4403";"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS Y OTROS SERVICIOS DE RESERVA Y ACTIVIDADES CONEXAS "
"440301";"Actividades de agencias de viajes y organizadores de viajes; actividades de asistencia a turistas"
"440302";"Actividades de los operadores turísticos"
"440303";"Otros servicios de reservas y actividades relacionadas"
"4404";"ACTIVIDADES DE INVESTIGACIÓN Y SEGURIDAD"
"440401";"Servicios de seguridad privados"
"440402";"Actividades de investigación y seguridad"
"440403";"Actividades de servicios de sistemas de seguridad"
"440404";"Actividades para la prestación de sistemas de seguridad"
"440405";"Actividades de investigación"
"4405";"ACTIVIDADES  DE SERVICIOS  A EDIFICIOS  Y PAISAJISMO"
"440501";"Actividades combinadas de mantenimiento de edificios e instalaciones"
"440502";"Limpieza general de edificios"
"440503";"Otras actividades combinadas de mantenimiento de edificios e instalaciones ncp"
"440504";"Servicio de jardinería"
"4406";"ACTIVIDADES  ADMINISTRATIVAS Y DE APOYO DE OFICINAS Y OTRAS ACTIVIDADES DE APOYO A LAS  EMPRESAS "
"440601";"Servicios administrativos de oficinas"
"440602";"Servicio de fotocopiado y similares, excepto en imprentas"
"440603";"Actividades de las centrales de llamadas (call center)"
"440604";"Organización de convenciones y ferias de negocios"
"440605";"Actividades de agencias de cobro y oficinas de crédito"
"440606";"Servicios de envase y empaque de productos alimenticios"
"440607";"Servicios de envase y empaque de productos medicinales"
"440608";"Servicio de envase y empaque ncp"
"440609";"Actividades de apoyo empresariales ncp"
"45";"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA"
"4501";"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA"
"450101";"Actividades de la Administración Pública en general"
"450102";"Alcaldías Municipales"
"450103";"Regulación de las actividades de prestación de servicios sanitarios, educativos, culturales y otros servicios sociales, excepto seguridad social"
"450104";"Regulación y facilitación de la actividad económica"
"450105";"Gobierno Central"
"450106";"Actividades de administración y funcionamiento del Ministerio de Relaciones Exteriores"
"450107";"Actividades de defensa"
"450108";"Actividades de mantenimiento del orden público y de seguridad"
"450109";"Actividades de planes de seguridad social de afiliación obligatoria"
"46";"ENSEÑANZA"
"4601";"ENSEÑANZA"
"460101";"Guardería educativa"
"460102";"Enseñanza preescolar o parvularia"
"460103";"Enseñanza primaria"
"460104";"Servicio de educación preescolar y primaria integrada"
"460105";"Enseñanza secundaria tercer ciclo (7°, 8° y 9° )"
"460106";"Enseñanza secundaria  de formación general  bachillerato "
"460107";"Enseñanza secundaria de formación técnica y profesional"
"460108";"Enseñanza secundaria de formación técnica y profesional integrada con enseñanza primaria"
"460109";"Enseñanza superior universitaria"
"460110";"Enseñanza superior no universitaria"
"460111";"Enseñanza superior integrada a educación secundaria y/o primaria"
"460112";"Educación deportiva y recreativa"
"460113";"Educación cultural"
"460114";"Otros tipos de enseñanza n.c.p."
"460115";"Enseñanza formal"
"460116";"Servicios de apoyo a la enseñanza"
"47";"ACTIVIDADES DE ATENCIÓN A LA SALUD HUMANA Y DE ASISTENCIA SOCIAL "
"4701";"ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA"
"470101";"Actividades de hospitales"
"470102";"Clínicas médicas"
"470103";"Servicios de odontología"
"470104";"Servicios médicos"
"470105";"Servicios de análisis y estudios de diagnóstico"
"470106";"Actividades de atención de la salud humana"
"470107";"Otros servicios relacionados con la salud ncp"
"4702";"ACTIVIDADES DE ATENCIÓN DE ENFERMERÍA EN INSTITUCIONES "
"470201";"Residencias de ancianos con atención de enfermería"
"470202";"Instituciones dedicadas al tratamiento del retraso mental, problemas de salud mental y el uso indebido de sustancias nocivas"
"470203";"Organismos de asistencia social"
"470204";"Instituciones dedicadas al cuidado de ancianos y discapacitados"
"470205";"Actividades de asistencia a niños y jóvenes"
"470206";"Otras actividades de atención en instituciones"
"4703";"ACTIVIDADES DE ASISTENCIA SOCIAL  SIN ALOJAMIENTO"
"470301";"Actividades de asistencia sociales sin alojamiento para ancianos y discapacitados"
"470302";"Servicios sociales sin alojamiento ncp"
"48";"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREATIVAS "
"4801";"ACTIVIDADES CREATIVAS ARTÍSTICAS Y DE ESPARCIMIENTO"
"480101";"Actividades creativas artísticas y de esparcimiento"
"4802";" ACTIVIDADES BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES"
"480201";"Actividades de bibliotecas y archivos"
"480202";"Actividades de museos y preservación de lugares y edificios históricos"
"480203";"Actividades de jardínes botánicos, zoológicos y de reservas naturales"
"480204";"Actividades de bibliotecas, archivos, museos y otras actividades culturales"
"4803";"ACTIVIDADES DE JUEGOS  DE AZAR Y APUESTAS"
"480301";"Actividades de juegos y apuestas"
"480302";"Venta de billetes lotería, rifas, espectáculos y similares"
"4804";"ACTIVIDADES DEPORTIVAS, DE  ESPARCIMIENTO Y RECREATIVAS  "
"480401";"Gestión de instalaciones deportivas"
"480402";"Actividades de clubes deportivos"
"480403";"Otras actividades deportivas"
"480404";"Actividades deportivas profesionales"
"480405";"Actividades de parques de atracciones y parques temáticos"
"480406";"Discotecas y salas de baile"
"480407";"Centros vacacionales"
"480408";"Actividades de esparcimiento ncp"
"49";"OTRAS ACTIVIDADES DE SERVICIOS"
"4901";"ACTIVIDADES DE ASOCIACIONES"
"490101";"Actividades de organizaciones empresariales y de empleadores"
"490102";"Actividades de organizaciones profesionales"
"490103";"Organizaciones gremiales"
"490104";"Actividades de sindicatos"
"490105";"Actividades de organizaciones religiosas"
"490106";"Actividades de organizaciones políticas"
"490107";"Actividades de asociaciones n.c.p."
"4902";"REPARACIÓN DE COMPUTADORAS Y DE EFECTOS PERSONALES  Y ENSERES DOMÉSTICOS"
"490201";"Reparación de computadoras y equipo periférico"
"490202";"Reparación de equipo de comunicación"
"490203";"Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática"
"490204";"Reparación de aparatos electrónicos de consumo"
"490205";"Reparación de aparatos doméstico y equipo de hogar y jardín"
"490206";"Reparación de calzado y artículos de cuero"
"490207";"Reparación de muebles y accesorios para el hogar"
"490208";"Reparación de instrumentos musicales"
"490209";"Servicios de cerrajería y copiado de llaves"
"490210";"Reparación de joyas y relojes"
"490211";"Reparación de bicicletas, sillas de ruedas y rodados n.c.p."
"490212";"Reparaciones de enseres personales n.c.p."
"4903";"OTRAS ACTIVIDADES DE SERVICIOS PERSONALES"
"490301";"Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en seco"
"490302";"Peluquería y otros tratamientos de belleza"
"490303";"Pompas fúnebres y actividades conexas"
"490304";"Servicios de sauna y otros servicios para la estética corporal n.c.p."
"490305";"Servicios n.c.p."
"50";"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO"
"5001";"ACTIVIDAD DE LOS HOGARES EN CALIDAD DE EMPLEADORES DE PERSONAL DOMESTICO"
"500101";"Actividad de los hogares en calidad de empleadores de personal doméstico"
"5002";"ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO"
"500201";"Actividades indiferenciadas de producción de bienes de los hogares privados para uso propio"
"500202";"Actividades indiferenciadas de producción de servicios de los hogares privados para uso propio"
"500203";"Contribuyente Finalizado"
"51";"ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES"
"5101";"ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES"
"510101";"Actividades de organizaciones y órganos extraterritoriales"
"510102";"Actividad económica no definida durante migración de datos"
"52";"EMPLEADOS Y OTRAS PERSONAS NATURALES"
"5201";"EMPLEADOS Y OTRAS PERSONAS NATURALES"
"520101";"Empleados"
"520102";"Jubilado"
"520103";"Estudiante"
"520104";"Desempleado"
"520105";"Otros"
