"CODIGO";"NOMBRE"
"330130";"Elaboración de Productos de Panadería"
"330131";"Ingenios azucareros"
"330132";"Molienda de caña de azúcar para la elaboración de dulces"
"330133";"Elaboración de jarabes de azúcar y otros similares"
"330134";"Maquilado de azúcar de caña"
"330135";"Fabricación de cacao, chocolates y  productos de confitería"
"330136";"Elaboración de macarrones, fideos, y productos farináceos similares"
"330137";"Elaboración de comidas y platos preparados para la reventa en locales y/o  para exportación"
"330138";"Elaboración de productos de café"
"330139";"Elaboración de especies, sazonadores y condimentos"
"330140";"Elaboración de sopas, cremas y consomé"
"330141";"Fabricación de bocadillos tostados y/o fritos"
"330142";"Elaboración de productos alimenticios ncp"
"330143";"Elaboración de alimentos preparados para animales"
"3302";"ELABORACIÓN DE BEBIDAS"
"330201";"Fabricación de aguardiente y licores"
"330202";"Elaboración de vinos"
"330203";"Fabricación de cerveza"
"330204";"Fabricación de aguas gaseosas"
"330205";"Fabricación y envasado  de agua"
"330206";"Elaboración de refrescos"
"330207";"Maquilado de aguas gaseosas"
"330208";"Elaboración de bebidas no alcohólicas"
"3303";"ELABORACIÓN DE PRODUCTOS DE TABACO"
"330301";"Elaboración de productos de tabaco"
"3304";"FABRICACIÓN DE PRODUCTOS TEXTILES"
"330401";"Preparación de fibras textiles"
"330402";"Fabricación de hilados"
"330403";"Fabricación de telas"
"330404";"Acabado de productos textiles"
"330405";"Fabricación de tejidos de punto y  ganchillo "
"330406";"Fabricación de productos textiles para el hogar"
"330407";"Sacos, bolsas y otros artículos textiles"
"330408";"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir n.c.p"
"330409";"Fabricación de tapices y alfombras"
"330410";"Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)"
"330411";"Fabricación de redes de diversos materiales"
"330412";"Maquilado de productos trenzables de cualquier material (petates, sillas, etc.)"
"330413";"Fabricación de adornos, etiquetas y otros artículos para prendas de vestir"
"330414";"Servicio de bordados en artículos y prendas de tela"
"330415";"Fabricación de productos textiles ncp"
"3305";"FABRICACIÓN DE PRENDAS DE VESTIR"
"330501";"Fabricación de ropa  interior, para dormir y similares"
"330502";"Fabricación de ropa para niños"
"330503";"Fabricación de prendas de vestir para ambos sexos "
"330504";"Confección de prendas a medida"
"330505";"Fabricación de prendas de vestir para deportes"
"330506";"Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles"
"330507";"Maquilado  de prendas de vestir, accesorios y otros"
"330508";"Fabricación de prendas y accesorios de vestir n.c.p."
"330509";"Fabricación de artículos de piel"
"330510";"Fabricación de calcetines, calcetas, medias (panty house) y otros similares"
"330511";"Fabricación de ropa interior de tejido de punto"
"330512";"Fabricación de prendas de vestir de tejido de punto ncp"
"3306";"FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS"
"330601";"Curtido y adobo de cueros; adobo y teñido de pieles"
"330602";"Fabricación de maletas, bolsos de mano y otros artículos de marroquinería"
"330603";"Fabricación de monturas, accesorios y vainas  talabartería"
"330604";"Fabricación  de artesanías principalmente de cuero natural y sintético"
